"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"New York","NY","New York","Kings",1,,,,,,,,,,,,,,,2900,2900,2650,2695,2795,2690,2695,2775,2780,2750,2800,2800,2865,2950,2990,2995,3000,3095,3100,3100,3090,3000,3100,3000,3000,3195,3200,3150,3195,3200,3200,3100,3100,3050,3099,3100,3107,3196.5,3200,2695,2600,2650,2625,2600,2595,2575,2600,2600,2650,2700,2650,2600,2600,2600,2550,2500,2500,2500,2500,2500,2595,2600,2600,2600,2600,2674,2700,2645,2500,2500,2500,2545,2600,2600,2650,2650,2695,2600,2550,2500,2500,2500,2500
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,1850,1850,2000,2100,2250,2350,2525,2400,2372.5,2200,2200,2100,2100,2000,2095,2200,2200,2195,2000,1950,1895,1895,1850,1895,1950,1998,1995,1995,1975,1950,1995,2000,1995,1914.5,1875,1935,1980,2005,2010.5,2100,2096.5,2073,2000,2100,2100,1950,2198,2180,2100,2131.5,2195,2250,2295,2350,2395,2395,2400,2415,2475,2495,2500,2495,2500,2535,2595,2595,2600,2600,2595,2566,2505,2650,2681,2695,2695,2650,2700,2600,2650,2795,2650,2640,2598.5,2600,2795,2815,2800,2800,2800,2850,2850,2847.5,2800,2795,2795,2800,2805
"Chicago","IL","Chicago","Cook",3,,1500,1495,1475,1595,1500,1500,1555,1650,1637.5,1700,1550,1600,1600,1700,1700,1800,1795,1724,1745,1710,1675,1700,1700,1650,1599,1545,1600,1700,1695,1750,1755,1832,1700,1781.5,1700,1875,1650,1700,1800,1850,1900,1999,1950,1817.5,1920,2000,1800,1695,1695,1687.5,1710,1785,1895,1750,1975,1950,1850,1650,1700,1900,1650,1750,1750,1750,1750,1750,1850,1900,2014.5,1895,1800,2000,1788.5,1750,1795,1795,1750,1740,1750,1725,1685,1700,1700,1700,1700,1720,1750,1745,1711.5,1700,1700,1700,1730,1750,1740.5,1790
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465,1347,1519,1325,1275,1336,1450,1435,1450,1465,1503,1533.5,1453,1454,1435,1450,1450,1517,1525,1545,1550,1539,1525,1550,1730,1710,1745,1650,1693.5,1649,1600,1600,1568,1500,1536,1485,1489,1450,1530,1578,1550,1578,1595,1575,1585,1585,1600,1605,1614,1624,1600,1650
"Philadelphia","PA","Philadelphia","Philadelphia",5,,1650,1600,1597.5,1850,1900,1900,1562.5,1565.5,1587.5,1525,1350,1400,1370,1300,1300,1287.5,1300,1300,1295,1250,1200,1300,1360,1411.5,1467,1495,1500,1400,1390,1250,1225,1202,1200,1200,1250,1275,1334,1350,1395,1300,1300,1295,1400,1350,1375,1395,1295,1230.5,1209,1250,1350,1380,1350,1300,1300,1334.5,1300,1295,1275,1300,1350,1350,1386,1390,1350,1350,1344,1320,1320,1325,1395,1400,1425,1430,1500,1470,1481,1450,1450,1475,1450,1480,1400,1495,1550,1550,1575,1560,1545,1600,1600,1550,1547.5,1500,1500,1520
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,849,812.5,837,750,750,788,797,760.5,792,799,800,807.5,795,759,750,740,750,799,775,775,780,780,796.5,804.5,795,795,789,786.5,788,795,795,795,788,788,780,788,788,750,770,788,788,788,799,799,802,799,800,800,810,810,846,850,885,882.5,885,850,875,875,895,880,885,912,977,945,940,1020,1010,1000,1035,985,971.5,960,954.5,909,934,975,1069,1179.5,1227,1133,1120,1138.5,1100,1095,1088,1050,1050,1068.5,1117.5
"Las Vegas","NV","Las Vegas","Clark",7,975,995,950,970,860,900,1050,975,900,875,800,895,850,850,897,900,895,895,895,875,850,800,825,800,825,800,800,800,800,800,795,800,800,820,800,800,800,820.5,825,805.5,800,825,825,825,820,820,835,850,850,850,850,875,875,870,875,875,895,895,895,875,895,900,917.5,925,925,925,925,895,900,927.5,961,930,950,977,995,950,995,975,971.5,985,995,995,980,1000,1013,1050,1065,1050,1050,1050,1050,1045,1040,1045,1040,1053,1095
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,850,810,819,800,845,845,843,850,835,825,850,857,880,927,929,880,860,875,882.5,900,895,885,900,860,909,899,926,926,927.5,925,927,940,950,950,959,979,999,990,989,999,975,991.5,959,985,975,950,950,950,950,983,975,970,975,985,987,990.5,994.5,995,1045,1065,1014,1021,1050,1039,1000,1029,1006,1025,1065,980.5,1020,977,1050,1050,1066,1095,1150,1130,1111,1100,1105,1099,1075,1085,1100,1180
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,2030,1800,1897,1700,1775,1755,1847.5,1850,1800,1798,1800,1875,1800,1700,1750,1750,1750,1752,1695,1655,1745,1744,1700,1740,1700,1720,1720,1720,1722.5,1728,1747.5,1740,1788,1760,1779,1950,1895,1800,1950,1980,1917,1930,1950,2010.5,2050,2050,2060,2070,2135,2150,2100,2095,2100,2120,2127.5,2120,2150,2170.5,2248,2250,2220,2255,2220,2215,2250,2247,2245,2200,2182.5,2218,2225,2310,2200,2161.5,2195,2200,2212,2280,2285,2350,2395,2395,2395,2395,2320,2295,2284,2253,2295
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,1195,1199,1195,1372,1233.5,1100,1242,1100,1275,1350,1344,1252,1326,1325,1350,1410,1495,1430,1473.5,1459,1460,1516,1506.5,1418.5,1563,1561,1598,1600,1600,1570,1570,1600,1529,1579.5,1540,1509,1514,1539,1598,1600,1588,1520.5,1481.5,1549,1550,1523,1546,1569.5,1600,1589,1580,1609,1674,1709,1700,1659,1691,1665,1645,1595,1699.5,1699,1609.5,1595,1709,1700,1760,1800,1775,1800,1819,1845,1790,1753,1784,1796,1760,1840
