"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"New York","NY","New York","Kings",1,1995,2237.5,2499,2200,2300,2172.5,1900,1900,2100,1950,2300,2050,1800,2000,2000,2012.5,2025,2100,2200,2193.5,2123,2100,2095,2090,2100,2100,2150,2195,2195,2195,2200,2200,2200,2200,2200,2185,2200,2200,2200,2200,2225,2200,2230,2290,2285,2295,2300,2295,2299,2295,2295,2300,2327,2300,2264,2292,2300,2300,2300,2310,2325,2350,2399,2395,2400,2390,2400,2400,2400,2373.5,2350,2340,2350,2350,2350,2325,2340,2350,2345,2349,2350,2375.5,2199,2295,2400,2400,2425,2475,2475,2475,2450,2400,2375,2350,2350,2311,2350
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,896.5,895,925,950,950,905,900,925,985,950,950,955,975,1036,1055,1050,1095,1095,1025,1100,1098,1095,950,1050,1095,1083,1050,1070,1125,1175,1275,1327.5,1295,1295,1275,1340,1345,1345,1365,1375,1375,1442.5,1445,1440,1450,1450,1400,1395,1500,1550,1600,1567,1661,1592.5,1695,1545,1602.5,1525,1550,1450,1499,1700,1925,1800,1720,1850,1956.5,1950,1950,1925,1854,1871,1850,1851
"Chicago","IL","Chicago","Cook",3,1450,1450,1425,1500,1500,1450,1300,1520,1600,1650,1762.5,1500,1449,1350,1355,1375,1349,1300,1308,1350,1300,1270,1285,1270,1225,1224,1280,1295,1275,1325,1390,1400,1395,1390,1385,1399,1428.5,1415,1400,1431,1438,1450,1495,1500,1495,1450,1475,1485,1465,1450,1450,1495,1529.5,1581,1500,1600,1595,1515,1470,1526,1625,1550,1500,1530,1550,1521.5,1500,1550,1550,1550,1523,1523,1564,1514,1500,1495,1450,1450,1450,1458,1500,1505,1495,1500,1499,1494.5,1485,1475,1495,1500,1535,1550,1550,1537.5,1505,1518,1500
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,859.5,910,855,949,932,952,925,903,1000,1021.5,1010,1000,987.5,949.5,1000,1100,1140,1215,1197.5,1200,1200,1117,1100,1100,1150,1200,1195,1090,1202,1107.5,1100,1057.5,1145,1300,1292.5,1319,1267,1304,1324,1295,1250,1250,1150,1249,1219,1140,1050,1232,1250,1213.5,1200,1224,1205,1185,1213,1250,1240,1282,1260,1212,1256
"Philadelphia","PA","Philadelphia","Philadelphia",5,,1475,1275,1375,1375,1275,1400,1250,1400,1600,1500,1275,1300,1300,1350,1350,1400,1435,1475,1437.5,1250,1185,1195,1100,1175,1185,1150,1200,1130,1150,1195,1200,1175,1109,1195,1150,1200,1295,1250,1200,1150,1100,1195,1245,1200,1150,1150,1150,1150,1195,1195,1250,1250,1287.5,1250,1250,1275,1295,1200,1250,1250,1250,1329,1331,1300,1295,1300,1300,1295,1300,1302.5,1340,1305,1350,1400,1375,1400,1250,1300,1297.5,1350,1300,1315,1260,1300,1350,1350,1365,1325,1306,1350,1375,1375,1395,1350,1395,1375
"Phoenix","AZ","Phoenix","Maricopa",6,1275,1200,1212.5,1225,1175,1195,1195,1100,1095,1099,1099,1049,1050,1050,1050,1050,1050,1050,1050,1025,1000,995,995,995,995,1000,1000,1050,1050,1050,1045,1025,1000,1000,999.5,995,1000,1000,1000,1000,1000,1025,995,1050,1050,1050,1050,1075,1050,1050,1095,1125,1150,1150,1177,1150,1150,1150,1150,1150,1195,1200,1219,1225,1225,1200,1200,1200,1200,1192.5,1200,1245,1250,1250,1250,1225,1250,1200,1200,1200,1200,1200,1200,1250,1250,1295,1300,1325,1335,1325,1300,1300,1299,1295,1300,1295,1299
"San Diego","CA","San Diego","San Diego",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479.5,1520,1561,1595,1595,1550,1595,1620,1675,1705,1695,1495,1497.5,1607,1595,1597,1595,1507.5,1557.5,1620.5,1450,1613,1450,1497.5,1595,1694.5,1746,1681.5,1725,1745,1687,1740,1653,1700,1675,1684.5,1695,1789.5,1800
"Dallas","TX","Dallas-Fort Worth","Dallas",8,,,,,,,,,,,,895,795,845.5,825,812.5,845.5,850,750,749,725,750,700,682,695,750,756,850,850,795,705,746,750,817.5,850,850,800,845,865,797,796.5,850.5,857,899,947.5,975,982.5,975,945,950,967.5,955,1058,1050,1050,1000,1085,1100,1050,1054.5,1026,1030,1080.5,1067,1081,1150,1170,1045,995,1055,1055,1018.5,1005,1024,1121,1150,1051,1098.5,1089,1097,1150,1160,1099,1170,1170,1165,1160,1165,1165,1190,1225,1240,1250,1269,1294,1400,1450
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2107.5,2150,2120,2115,2195,2142,2215,2315,2395,2370,2340,2365,2367,2307.5,2334.5,2294.5,2202.5,2270,2285,2370,2055,2202,2110,2132.5,2027.5,2255,2235,2313,2300,2260.5,2324,2299,2279,2229,2288,2243,2203.5,2202.5,2200
"Jacksonville","FL","Jacksonville","Duval",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,900,910,930,895,840,850,850,745,745,745,750,850,850,850,850,794.5,850,766.5,778,820,845,847.5,815,738,817.5,780,850,975,937.5,799,850,910,832.5,950,940,899,945,951,995,1025,1015,959,1050,1020,1050,1074.5,1075
