City,Measure Display,Period Begin,Period End,Property Type,Region,Region Type,State,State Code,Table Id,Worksheet Filter,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,Sold Above List,Sold Above List Mom,Sold Above List Yoy
Seattle,,1/1/2012,1/31/2012,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.969093262,-0.20%,0.90%,454,-27.10%,17.60%,"2,102",-3.60%,-28.70%,59,4,-21,220.0980392,0.092024887,-0.070309099,"339,000",0.168965517,-0.031290184,204.2857143,0.006380055,-0.083165714,$300K,-6.30%,-10.20%,4.6,1.1,-3,655,67.50%,-16.20%,1,30,0.286393911,0.082724186,-0.006007718,0.162995595,-0.008754004,0.059368652
Seattle,,5/1/2015,5/31/2015,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.036981234,0.30%,2.30%,"1,145",5.40%,9.50%,"1,094",4.80%,-26.90%,7,0,-1,323.8742801,0.015669742,0.140037466,"495,000",0.042105263,0.125,325.3275109,0.022457891,0.156437636,$486K,0.80%,10.50%,1,0,-0.4,"1,394",-0.90%,-1.60%,1,30,0.197440585,-0.02095022,-0.079780524,0.561572052,-0.00288467,0.121801498
Seattle,,7/1/2017,7/31/2017,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.055992395,-1.70%,2.20%,"1,158",-10.90%,-6.90%,914,9.90%,-24.20%,8,1,0,413.5338346,0.022719185,0.154747379,"629,000",-0.030816641,0.175700935,437.1359223,0.021403843,0.108608056,$680K,0.70%,17.20%,0.8,0.2,-0.2,"1,233",-12.00%,-8.10%,1,30,0.245076586,-0.009731106,-0.005338007,0.595836947,-0.055433261,0.085780632
Seattle,,11/1/2014,11/30/2014,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.996997355,-0.30%,0.30%,796,-22.90%,3.50%,"1,280",-18.90%,-16.20%,20,5,3,284.9462366,-0.022664867,0.066612595,"449,950",-0.000111111,0.15393986,283.9270833,-0.036509734,0.085787088,$435K,-3.30%,7.40%,1.6,0.1,-0.4,593,-39.90%,-1.20%,1,30,0.2765625,-0.078092345,-0.018132981,0.277987421,-0.05115101,-0.004197234
Seattle,,7/1/2016,7/31/2016,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.034185032,-1.00%,0.10%,"1,244",-13.30%,-5.60%,"1,206",15.00%,12.10%,8,0,0,358.1162791,-0.003570053,0.108210835,"535,000",-0.027184289,0.126315789,394.3106131,0.02253217,0.172474958,$580K,0.90%,14.90%,1,0.3,0.2,"1,342",-3.20%,11.40%,1,30,0.250414594,-0.017459572,0.019001954,0.510056315,-0.02652905,0.023713372
Seattle,,10/1/2014,10/31/2014,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.00001892,-0.10%,0.00%,"1,033",11.10%,4.20%,"1,579",-9.40%,-15.90%,15,1,1,291.5542756,-0.008945544,0.091374922,"450,000",-0.021526419,0.058823529,294.6859903,-0.004279418,0.096969846,$450K,1.50%,7.70%,1.5,-0.4,-0.4,986,-16.70%,0.40%,1,30,0.354654845,0.024190129,0.001964381,0.329138432,0.010858862,-0.006885786
Seattle,,2/1/2018,2/28/2018,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.076247769,5.10%,3.70%,645,17.10%,-0.60%,506,5.90%,-8.20%,7,-5,-1,461.5376923,0.033439117,0.159877403,"695,000",0.069230769,0.135620915,468.75,0.076785714,0.13592197,$700K,0.00%,16.70%,0.8,-0.1,0,807,7.00%,1.80%,1,30,0.173913043,0.048390031,-0.009390042,0.654205607,0.228751062,0.105669398
Seattle,,8/1/2014,8/31/2014,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.005341958,-0.30%,-0.20%,"1,011",-5.10%,-8.60%,"1,668",-5.50%,-16.00%,13,4,1,289.2223289,0.012704682,0.087144912,"425,000",-0.031890661,0.065162907,284.314397,-0.016606674,0.0584865,$420K,-6.70%,1.20%,1.6,-0.1,-0.2,"1,006",-19.00%,-14.40%,1,30,0.284172662,0.006552265,-0.00585755,0.348170129,-0.051829871,-0.016206002
Seattle,,7/1/2012,7/31/2012,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.991783324,-0.10%,1.90%,840,-10.00%,25.40%,"2,004",-1.10%,-37.20%,21,4,-14,229.9440638,-0.049857339,0.070927498,"375,000",-0.060150376,0.086956522,230.1399916,-0.040853688,0.048706098,$370K,-2.10%,5.70%,2.4,0.2,-2.4,920,-10.00%,2.60%,1,30,0.266467066,-0.012763324,-0.049206915,0.296428571,-0.006894044,0.118816631
Seattle,,4/1/2014,4/30/2014,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.01473409,0.70%,0.70%,969,16.00%,1.80%,"1,336",5.50%,-3.70%,10,-3,1,282.9825835,-0.027862177,0.079963582,"443,995",0.057256816,0.1099875,283.7358635,0.021449109,0.08438918,$416K,1.70%,6.90%,1.4,-0.1,-0.1,"1,230",12.70%,0.30%,1,30,0.267215569,0.004972283,0.02568709,0.453044376,0.048253956,0.04338051
Seattle,,4/1/2015,4/30/2015,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.033914451,1.10%,1.90%,"1,086",23.50%,12.10%,"1,044",-0.40%,-21.90%,7,-1,-3,318.877551,-0.006537622,0.126845148,"475,000",-0.048096192,0.069831867,318.1818182,0.058887088,0.121401483,$482K,4.80%,15.90%,1,-0.2,-0.4,"1,407",11.80%,14.40%,1,30,0.218390805,0.00274195,-0.048824764,0.564456722,0.09687993,0.111412346
Seattle,,8/1/2016,8/31/2016,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.02799338,-0.60%,-0.10%,"1,318",5.90%,17.10%,"1,177",-2.40%,4.00%,9,1,0,364.5833333,0.018058532,0.137841352,"535,000",0,0.091892443,384.0549693,-0.026009049,0.11916392,$580K,0.00%,7.40%,0.9,-0.1,-0.1,"1,226",-8.60%,6.40%,1,30,0.287170773,0.036756179,0.058372187,0.456752656,-0.05330366,-0.013051963
Seattle,,5/1/2017,5/31/2017,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.078323043,0.70%,2.20%,"1,219",30.90%,9.20%,769,10.30%,-23.80%,7,0,-1,407.937005,0.011970044,0.130660045,"649,000",0.081756813,0.180107282,428,0.005054726,0.124263766,$635K,-0.80%,12.40%,0.6,-0.1,-0.3,"1,431",24.40%,3.40%,1,30,0.196358908,0.054321605,-0.053393322,0.680065628,0.028452724,0.066612713
Seattle,,3/1/2016,3/31/2016,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.049428765,1.50%,2.60%,921,33.90%,4.80%,877,9.60%,-16.30%,8,1,0,355,-0.046389275,0.106001796,"549,000",-0.000728067,0.100200401,374.7191011,-0.026451093,0.247039256,$540K,7.40%,17.40%,1,-0.2,-0.2,"1,262",38.70%,0.20%,1,30,0.171037628,0.013537628,-0.044611227,0.554347826,0.01510364,0.086771034
Seattle,,9/1/2013,9/30/2013,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.999931146,-0.70%,0.80%,890,-19.50%,27.10%,"2,032",2.30%,1.10%,14,2,-3,266.9034091,0.00325132,0.08653432,"425,000",0.065162907,0.024096386,269.5238095,0.003421975,0.102987564,$415K,0.00%,12.90%,2.3,0.5,-0.6,"1,166",-0.80%,12.70%,1,30,0.335137795,0.045107584,0.05340559,0.338202247,-0.026173883,0.026773676
Seattle,,2/1/2015,2/28/2015,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.006882376,0.70%,0.40%,634,23.10%,0.60%,968,1.60%,-22.10%,14,-13,-4,298.8505747,-0.036035262,0.076140072,"465,000",0.068965517,0.094246382,301.9182343,0.030979137,0.127161408,$430K,-5.50%,4.90%,1.5,-0.4,-0.5,867,13.50%,3.10%,1,30,0.20661157,-0.026337013,-0.030717472,0.345425868,0.059988974,0.013679836
Seattle,,12/1/2014,12/31/2014,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.995674365,-0.10%,0.40%,826,3.80%,10.40%,"1,005",-21.50%,-21.20%,23,3,-5,286.7450553,0.006312835,0.072177163,"429,000",-0.046560729,0.077889447,278.6461296,-0.018599683,0.069863959,$438K,0.60%,7.90%,1.2,-0.4,-0.5,379,-36.10%,2.40%,1,30,0.1960199,-0.0805426,-0.014176178,0.303874092,0.025886671,0.048526498
