Category: All categories

Week,Seattle housing: (Seattle-Tacoma WA)
2013-04-21,58
2013-04-28,64
2013-05-05,62
2013-05-12,48
2013-05-19,52
2013-05-26,52
2013-06-02,80
2013-06-09,50
2013-06-16,54
2013-06-23,44
2013-06-30,45
2013-07-07,44
2013-07-14,60
2013-07-21,37
2013-07-28,50
2013-08-04,56
2013-08-11,42
2013-08-18,52
2013-08-25,47
2013-09-01,57
2013-09-08,54
2013-09-15,29
2013-09-22,39
2013-09-29,55
2013-10-06,53
2013-10-13,44
2013-10-20,51
2013-10-27,51
2013-11-03,39
2013-11-10,44
2013-11-17,35
2013-11-24,28
2013-12-01,36
2013-12-08,36
2013-12-15,33
2013-12-22,41
2013-12-29,49
2014-01-05,39
2014-01-12,40
2014-01-19,38
2014-01-26,31
2014-02-02,43
2014-02-09,57
2014-02-16,46
2014-02-23,58
2014-03-02,46
2014-03-09,67
2014-03-16,55
2014-03-23,55
2014-03-30,51
2014-04-06,38
2014-04-13,61
2014-04-20,54
2014-04-27,68
2014-05-04,60
2014-05-11,43
2014-05-18,62
2014-05-25,64
2014-06-01,61
2014-06-08,69
2014-06-15,62
2014-06-22,51
2014-06-29,33
2014-07-06,38
2014-07-13,53
2014-07-20,52
2014-07-27,63
2014-08-03,68
2014-08-10,41
2014-08-17,54
2014-08-24,42
2014-08-31,43
2014-09-07,39
2014-09-14,51
2014-09-21,42
2014-09-28,45
2014-10-05,42
2014-10-12,51
2014-10-19,32
2014-10-26,44
2014-11-02,39
2014-11-09,50
2014-11-16,44
2014-11-23,39
2014-11-30,38
2014-12-07,33
2014-12-14,43
2014-12-21,18
2014-12-28,29
2015-01-04,51
2015-01-11,52
2015-01-18,41
2015-01-25,64
2015-02-01,34
2015-02-08,33
2015-02-15,58
2015-02-22,36
2015-03-01,51
2015-03-08,55
2015-03-15,43
2015-03-22,75
2015-03-29,41
2015-04-05,74
2015-04-12,57
2015-04-19,55
2015-04-26,73
2015-05-03,43
2015-05-10,62
2015-05-17,40
2015-05-24,41
2015-05-31,51
2015-06-07,43
2015-06-14,57
2015-06-21,64
2015-06-28,57
2015-07-05,78
2015-07-12,77
2015-07-19,79
2015-07-26,51
2015-08-02,53
2015-08-09,76
2015-08-16,52
2015-08-23,58
2015-08-30,57
2015-09-06,62
2015-09-13,63
2015-09-20,43
2015-09-27,64
2015-10-04,41
2015-10-11,38
2015-10-18,58
2015-10-25,41
2015-11-01,70
2015-11-08,65
2015-11-15,44
2015-11-22,31
2015-11-29,63
2015-12-06,38
2015-12-13,44
2015-12-20,31
2015-12-27,43
2016-01-03,46
2016-01-10,65
2016-01-17,74
2016-01-24,46
2016-01-31,52
2016-02-07,54
2016-02-14,58
2016-02-21,57
2016-02-28,72
2016-03-06,54
2016-03-13,64
2016-03-20,74
2016-03-27,67
2016-04-03,60
2016-04-10,58
2016-04-17,55
2016-04-24,48
2016-05-01,45
2016-05-08,57
2016-05-15,68
2016-05-22,55
2016-05-29,51
2016-06-05,66
2016-06-12,63
2016-06-19,52
2016-06-26,56
2016-07-03,49
2016-07-10,85
2016-07-17,59
2016-07-24,49
2016-07-31,57
2016-08-07,55
2016-08-14,50
2016-08-21,54
2016-08-28,50
2016-09-04,38
2016-09-11,44
2016-09-18,60
2016-09-25,45
2016-10-02,51
2016-10-09,49
2016-10-16,46
2016-10-23,50
2016-10-30,47
2016-11-06,43
2016-11-13,41
2016-11-20,42
2016-11-27,51
2016-12-04,53
2016-12-11,46
2016-12-18,52
2016-12-25,31
2017-01-01,50
2017-01-08,49
2017-01-15,49
2017-01-22,69
2017-01-29,74
2017-02-05,100
2017-02-12,77
2017-02-19,77
2017-02-26,71
2017-03-05,63
2017-03-12,44
2017-03-19,48
2017-03-26,82
2017-04-02,75
2017-04-09,52
2017-04-16,67
2017-04-23,83
2017-04-30,50
2017-05-07,53
2017-05-14,56
2017-05-21,68
2017-05-28,52
2017-06-04,50
2017-06-11,69
2017-06-18,42
2017-06-25,71
2017-07-02,59
2017-07-09,54
2017-07-16,56
2017-07-23,64
2017-07-30,67
2017-08-06,50
2017-08-13,72
2017-08-20,42
2017-08-27,53
2017-09-03,57
2017-09-10,56
2017-09-17,54
2017-09-24,51
2017-10-01,62
2017-10-08,48
2017-10-15,53
2017-10-22,45
2017-10-29,51
2017-11-05,66
2017-11-12,49
2017-11-19,34
2017-11-26,83
2017-12-03,59
2017-12-10,43
2017-12-17,38
2017-12-24,40
2017-12-31,53
2018-01-07,61
2018-01-14,60
2018-01-21,67
2018-01-28,44
2018-02-04,54
2018-02-11,48
2018-02-18,44
2018-02-25,57
2018-03-04,69
2018-03-11,54
2018-03-18,54
2018-03-25,59
2018-04-01,71
2018-04-08,77
2018-04-15,42
