Category: All categories

Week,Seattle rent: (Worldwide)
2013-04-21,73
2013-04-28,79
2013-05-05,67
2013-05-12,68
2013-05-19,70
2013-05-26,65
2013-06-02,65
2013-06-09,71
2013-06-16,70
2013-06-23,78
2013-06-30,62
2013-07-07,75
2013-07-14,93
2013-07-21,78
2013-07-28,89
2013-08-04,86
2013-08-11,67
2013-08-18,63
2013-08-25,67
2013-09-01,68
2013-09-08,59
2013-09-15,53
2013-09-22,60
2013-09-29,54
2013-10-06,55
2013-10-13,54
2013-10-20,64
2013-10-27,42
2013-11-03,60
2013-11-10,55
2013-11-17,58
2013-11-24,42
2013-12-01,56
2013-12-08,47
2013-12-15,46
2013-12-22,45
2013-12-29,65
2014-01-05,70
2014-01-12,72
2014-01-19,83
2014-01-26,60
2014-02-02,51
2014-02-09,65
2014-02-16,62
2014-02-23,65
2014-03-02,74
2014-03-09,74
2014-03-16,64
2014-03-23,70
2014-03-30,72
2014-04-06,70
2014-04-13,81
2014-04-20,75
2014-04-27,74
2014-05-04,79
2014-05-11,92
2014-05-18,80
2014-05-25,72
2014-06-01,81
2014-06-08,67
2014-06-15,67
2014-06-22,73
2014-06-29,87
2014-07-06,79
2014-07-13,93
2014-07-20,80
2014-07-27,82
2014-08-03,97
2014-08-10,91
2014-08-17,59
2014-08-24,74
2014-08-31,59
2014-09-07,70
2014-09-14,60
2014-09-21,58
2014-09-28,70
2014-10-05,62
2014-10-12,59
2014-10-19,55
2014-10-26,58
2014-11-02,64
2014-11-09,46
2014-11-16,52
2014-11-23,43
2014-11-30,52
2014-12-07,43
2014-12-14,49
2014-12-21,46
2014-12-28,65
2015-01-04,65
2015-01-11,65
2015-01-18,73
2015-01-25,68
2015-02-01,71
2015-02-08,69
2015-02-15,65
2015-02-22,72
2015-03-01,66
2015-03-08,82
2015-03-15,78
2015-03-22,72
2015-03-29,77
2015-04-05,70
2015-04-12,55
2015-04-19,68
2015-04-26,71
2015-05-03,80
2015-05-10,76
2015-05-17,73
2015-05-24,82
2015-05-31,95
2015-06-07,71
2015-06-14,81
2015-06-21,73
2015-06-28,85
2015-07-05,87
2015-07-12,78
2015-07-19,87
2015-07-26,94
2015-08-02,100
2015-08-09,88
2015-08-16,81
2015-08-23,79
2015-08-30,82
2015-09-06,64
2015-09-13,76
2015-09-20,69
2015-09-27,65
2015-10-04,74
2015-10-11,61
2015-10-18,59
2015-10-25,53
2015-11-01,65
2015-11-08,58
2015-11-15,59
2015-11-22,43
2015-11-29,55
2015-12-06,48
2015-12-13,47
2015-12-20,44
2015-12-27,72
2016-01-03,69
2016-01-10,66
2016-01-17,73
2016-01-24,54
2016-01-31,54
2016-02-07,63
2016-02-14,75
2016-02-21,71
2016-02-28,70
2016-03-06,79
2016-03-13,71
2016-03-20,73
2016-03-27,72
2016-04-03,73
2016-04-10,70
2016-04-17,74
2016-04-24,70
2016-05-01,69
2016-05-08,75
2016-05-15,72
2016-05-22,74
2016-05-29,70
2016-06-05,74
2016-06-12,80
2016-06-19,86
2016-06-26,81
2016-07-03,81
2016-07-10,73
2016-07-17,86
2016-07-24,75
2016-07-31,95
2016-08-07,77
2016-08-14,79
2016-08-21,68
2016-08-28,64
2016-09-04,64
2016-09-11,66
2016-09-18,64
2016-09-25,69
2016-10-02,70
2016-10-09,59
2016-10-16,57
2016-10-23,54
2016-10-30,56
2016-11-06,53
2016-11-13,57
2016-11-20,52
2016-11-27,55
2016-12-04,64
2016-12-11,47
2016-12-18,55
2016-12-25,64
2017-01-01,62
2017-01-08,69
2017-01-15,70
2017-01-22,82
2017-01-29,65
2017-02-05,66
2017-02-12,68
2017-02-19,76
2017-02-26,83
2017-03-05,67
2017-03-12,70
2017-03-19,66
2017-03-26,70
2017-04-02,70
2017-04-09,68
2017-04-16,70
2017-04-23,71
2017-04-30,72
2017-05-07,68
2017-05-14,68
2017-05-21,79
2017-05-28,72
2017-06-04,80
2017-06-11,85
2017-06-18,91
2017-06-25,82
2017-07-02,79
2017-07-09,81
2017-07-16,86
2017-07-23,85
2017-07-30,76
2017-08-06,77
2017-08-13,83
2017-08-20,64
2017-08-27,71
2017-09-03,75
2017-09-10,74
2017-09-17,60
2017-09-24,57
2017-10-01,67
2017-10-08,53
2017-10-15,65
2017-10-22,54
2017-10-29,53
2017-11-05,67
2017-11-12,52
2017-11-19,49
2017-11-26,51
2017-12-03,59
2017-12-10,51
2017-12-17,50
2017-12-24,55
2017-12-31,60
2018-01-07,53
2018-01-14,64
2018-01-21,64
2018-01-28,63
2018-02-04,63
2018-02-11,53
2018-02-18,68
2018-02-25,66
2018-03-04,63
2018-03-11,55
2018-03-18,62
2018-03-25,65
2018-04-01,74
2018-04-08,62
2018-04-15,52
