Category: All categories

Week,Seattle Apartment: (Worldwide)
2013-04-21,93
2013-04-28,64
2013-05-05,58
2013-05-12,81
2013-05-19,54
2013-05-26,60
2013-06-02,58
2013-06-09,61
2013-06-16,51
2013-06-23,71
2013-06-30,63
2013-07-07,81
2013-07-14,81
2013-07-21,75
2013-07-28,53
2013-08-04,74
2013-08-11,80
2013-08-18,56
2013-08-25,79
2013-09-01,52
2013-09-08,68
2013-09-15,55
2013-09-22,61
2013-09-29,46
2013-10-06,37
2013-10-13,55
2013-10-20,44
2013-10-27,44
2013-11-03,68
2013-11-10,56
2013-11-17,53
2013-11-24,40
2013-12-01,49
2013-12-08,57
2013-12-15,69
2013-12-22,41
2013-12-29,51
2014-01-05,59
2014-01-12,66
2014-01-19,73
2014-01-26,50
2014-02-02,60
2014-02-09,72
2014-02-16,62
2014-02-23,56
2014-03-02,63
2014-03-09,88
2014-03-16,49
2014-03-23,58
2014-03-30,67
2014-04-06,73
2014-04-13,79
2014-04-20,80
2014-04-27,83
2014-05-04,76
2014-05-11,82
2014-05-18,73
2014-05-25,72
2014-06-01,66
2014-06-08,50
2014-06-15,59
2014-06-22,73
2014-06-29,68
2014-07-06,80
2014-07-13,82
2014-07-20,57
2014-07-27,100
2014-08-03,69
2014-08-10,73
2014-08-17,68
2014-08-24,80
2014-08-31,62
2014-09-07,76
2014-09-14,73
2014-09-21,65
2014-09-28,59
2014-10-05,42
2014-10-12,73
2014-10-19,53
2014-10-26,66
2014-11-02,48
2014-11-09,41
2014-11-16,39
2014-11-23,57
2014-11-30,39
2014-12-07,55
2014-12-14,40
2014-12-21,33
2014-12-28,46
2015-01-04,74
2015-01-11,73
2015-01-18,72
2015-01-25,38
2015-02-01,75
2015-02-08,86
2015-02-15,57
2015-02-22,63
2015-03-01,78
2015-03-08,60
2015-03-15,67
2015-03-22,51
2015-03-29,92
2015-04-05,59
2015-04-12,69
2015-04-19,70
2015-04-26,80
2015-05-03,59
2015-05-10,85
2015-05-17,76
2015-05-24,79
2015-05-31,68
2015-06-07,74
2015-06-14,57
2015-06-21,82
2015-06-28,83
2015-07-05,70
2015-07-12,76
2015-07-19,58
2015-07-26,76
2015-08-02,71
2015-08-09,89
2015-08-16,52
2015-08-23,61
2015-08-30,56
2015-09-06,60
2015-09-13,50
2015-09-20,53
2015-09-27,53
2015-10-04,59
2015-10-11,55
2015-10-18,51
2015-10-25,42
2015-11-01,47
2015-11-08,48
2015-11-15,49
2015-11-22,32
2015-11-29,49
2015-12-06,51
2015-12-13,53
2015-12-20,47
2015-12-27,78
2016-01-03,71
2016-01-10,60
2016-01-17,73
2016-01-24,60
2016-01-31,73
2016-02-07,78
2016-02-14,49
2016-02-21,71
2016-02-28,51
2016-03-06,64
2016-03-13,83
2016-03-20,82
2016-03-27,66
2016-04-03,87
2016-04-10,74
2016-04-17,63
2016-04-24,61
2016-05-01,63
2016-05-08,79
2016-05-15,70
2016-05-22,65
2016-05-29,61
2016-06-05,74
2016-06-12,72
2016-06-19,54
2016-06-26,75
2016-07-03,62
2016-07-10,91
2016-07-17,67
2016-07-24,61
2016-07-31,71
2016-08-07,59
2016-08-14,62
2016-08-21,57
2016-08-28,79
2016-09-04,71
2016-09-11,48
2016-09-18,55
2016-09-25,62
2016-10-02,59
2016-10-09,67
2016-10-16,55
2016-10-23,54
2016-10-30,59
2016-11-06,58
2016-11-13,42
2016-11-20,49
2016-11-27,55
2016-12-04,73
2016-12-11,42
2016-12-18,61
2016-12-25,61
2017-01-01,64
2017-01-08,75
2017-01-15,56
2017-01-22,66
2017-01-29,67
2017-02-05,62
2017-02-12,65
2017-02-19,65
2017-02-26,71
2017-03-05,65
2017-03-12,67
2017-03-19,56
2017-03-26,82
2017-04-02,74
2017-04-09,83
2017-04-16,85
2017-04-23,55
2017-04-30,98
2017-05-07,73
2017-05-14,64
2017-05-21,74
2017-05-28,52
2017-06-04,75
2017-06-11,66
2017-06-18,80
2017-06-25,80
2017-07-02,58
2017-07-09,81
2017-07-16,65
2017-07-23,57
2017-07-30,70
2017-08-06,66
2017-08-13,75
2017-08-20,60
2017-08-27,61
2017-09-03,64
2017-09-10,56
2017-09-17,50
2017-09-24,66
2017-10-01,64
2017-10-08,54
2017-10-15,57
2017-10-22,69
2017-10-29,60
2017-11-05,67
2017-11-12,67
2017-11-19,47
2017-11-26,48
2017-12-03,51
2017-12-10,54
2017-12-17,40
2017-12-24,38
2017-12-31,72
2018-01-07,59
2018-01-14,64
2018-01-21,60
2018-01-28,58
2018-02-04,59
2018-02-11,52
2018-02-18,56
2018-02-25,47
2018-03-04,54
2018-03-11,57
2018-03-18,56
2018-03-25,55
2018-04-01,66
2018-04-08,64
2018-04-15,77
